itr 	 pos_up 	 pos_down 	         mom_up 	 mom_down 	 ke_up 	 ke_down 	         e_up 	 e_down 	 mass_up 	 mass_down 
1350 	 3.5303131424063068 	 4.3210401796404678 	  3.9996257985237924                             	 4.4708485278177088 	 8.0232519271332734 	 10.004538689697334                             	 8.7283825505409069 	 9.2977655887602033 	 0.98814999999999997                             	 0.011849999999999999 
1400 	 4.0302436824927055 	 4.8798998762969878 	  3.9993085721275157                             	 4.4708988934700837 	 8.0220838668751462 	 10.004746162376017                             	 8.7283825211587178 	 9.2977655947539208 	 0.98814999999999997                             	 0.011849999999999999 
1450 	 4.5301478538367812 	 5.438763650077882 	  3.9991774113715577                             	 4.4709183937337214 	 8.0216038571941759 	 10.00482533658275                             	 8.7283825084827136 	 9.2977655972155162 	 0.98814999999999997                             	 0.011849999999999999 
1500 	 5.030041184780468 	 5.9976289837307029 	  3.9991238096204933                             	 4.4709257582756106 	 8.0214086599853811 	 10.004854921084622                             	 8.728382503207806 	 9.2977655981752818 	 0.98814999999999997                             	 0.011849999999999999 
1550 	 5.5299300963996849 	 6.556494903503725 	  3.9991020077642063                             	 4.4709285127227334 	 8.0213296027392094 	 10.004865888234125                             	 8.7283825010531348 	 9.2977655985361238 	 0.98814999999999997                             	 0.011849999999999999 
1600 	 6.0298172115862645 	 7.1153610423169011 	  3.999093147766497                             	 4.4709295422002713 	 8.0212975989012971 	 10.004869954421888                             	 8.7283825001800821 	 9.2977655986696792 	 0.98814999999999997                             	 0.011849999999999999 
1650 	 6.529703596447705 	 7.6742272631015815 	  3.9990895429753746                             	 4.4709299283544759 	 8.0212846255336583 	 10.004871468219656                             	 8.7283824998275819 	 9.2977655987189838 	 0.98814999999999997                             	 0.011849999999999999 
1700 	 7.029589683908851 	 8.2330935147003785 	  3.9990880731281155                             	 4.4709300739798845 	 8.0212793545866745 	 10.00487203506658                             	 8.7283824996848232 	 9.2977655987372057 	 0.98814999999999997                             	 0.011849999999999999 
1750 	 7.5294756499709035 	 8.7919597779485095 	  3.9990874721983976                             	 4.4709301292238885 	 8.0212772072446423 	 10.004872248675497                             	 8.7283824996270525 	 9.2977655987440073 	 0.98814999999999997                             	 0.011849999999999999 
1800 	 8.0293615663396629 	 9.3508260456269223 	  3.999087225800531                             	 4.470930150305068 	 8.02127632987564 	 10.00487232968354                             	 8.7283824996035939 	 9.2977655987465386 	 0.98814999999999997                             	 0.011849999999999999 
1850 	 8.5292474623064756 	 9.9096923150000187 	  3.9990871244653832                             	 4.4709301583949088 	 8.0212759703124679 	 10.004872360591957                             	 8.7283824995941472 	 9.2977655987474996 	 0.98814999999999997                             	 0.011849999999999999 
1900 	 9.0291333498716817 	 10.468558585024862 	  3.999087082661783                             	 4.4709301615155752 	 8.0212758225037284 	 10.004872372452207                             	 8.7283824995902606 	 9.2977655987478585 	 0.98814999999999997                             	 0.011849999999999999 
1950 	 9.5290192339663804 	 11.027424855301646 	  3.9990870653633128                             	 4.470930162725101 	 8.0212757615548966 	 10.004872377027134                             	 8.728382499588605 	 9.297765598747997 	 0.98814999999999997                             	 0.011849999999999999 
